target_model,proxy_model,dataset,z_mode,Label,rho_T,rho_P,Scale,Shape_I,Shape_W,Omega_I,Omega_W,delta_I,delta_W,gamma_I,gamma_W,Bound_I,Bound_W,Bound,EBound_I,EBound_W,EBound,|MdR|,MLoss_T,MLoss_P,MPPL_T,MPPL_P,K_f,K_f_grad_p95,K_f_grad_max,K_f_grad_mean,K_f(pw),K_p,K_p(emp)
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q6_K.gguf,fineweb_edu,concat,BF16 vs Q6_K,106.9162493909731,106.83453780419111,0.006676783414431,0.0,0.0,1.0,1.0,0.0817115867819922,0.0817115867819922,11.95556354522705,31.68761444091797,17.120095958015472,45.02542994813775,17.120095958015472,15.36667429043477,40.58007415944716,15.36667429043477,0.000226,3.008810520172119,3.008584260940552,20.26328281851921,20.258698582352096,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q5_K_M.gguf,fineweb_edu,concat,BF16 vs Q5_K_M,106.9162493909731,106.83282835676889,0.0069590689477018,0.0,0.0,1.0,1.0,0.0834210342042212,0.0834210342042212,11.95533847808838,33.71781539916992,17.12422067435743,47.90101068698243,17.12422067435743,15.368269240124429,43.17612538503276,15.368269240124429,0.00114,3.008810520172119,3.009950637817383,20.26328281851921,20.28639851961698,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q4_K_M.gguf,fineweb_edu,concat,BF16 vs Q4_K_M,106.9162493909731,106.66328916020542,0.0639888783500399,0.0,0.0,1.0,1.0,0.2529602307676839,0.2529602307676839,11.93173599243164,45.98712921142578,17.531489512209806,65.69308847446005,17.531489512209806,15.5248161792206,59.0404269723422,15.5248161792206,0.011526,3.008810520172119,3.020336866378784,20.26328281851921,20.498195674214976,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q3_K_M.gguf,fineweb_edu,concat,BF16 vs Q3_K_M,106.9162493909731,106.80246350552092,0.0129472277281384,0.0,0.0,1.0,1.0,0.113785885452188,0.113785885452188,11.947442054748535,73.3629150390625,17.19197445575992,104.04656928973516,17.19197445575992,15.391618729625698,93.86764165718644,15.391618729625698,0.056152,3.008810520172119,3.064962148666382,20.26328281851921,21.43365067956466,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q2_K.gguf,fineweb_edu,concat,BF16 vs Q2_K,106.9162493909731,105.9274353578083,0.9777531921836388,0.0,0.0,1.0,1.0,0.9888140331648004,0.9888140331648004,11.83098316192627,194.02853393554688,19.301554458640805,276.9678017938557,19.301554458640805,16.206438207197827,249.01648553041764,16.206438207197827,0.203114,3.008810520172119,3.2119240760803223,20.26328281851921,24.826808968056525,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:int8],fineweb_edu,concat,BF16 vs INT8,106.9162493909731,106.92699991587284,0.0001155737856194,0.0,0.0,1.0,1.0,0.0107505248997199,0.0107505248997199,0.0,33.03343963623047,0.027941592083391,46.744279937473486,0.027941592083391,0.0118390724984512,42.22160870060373,0.0118390724984512,0.007817,3.008810520172119,3.016627311706543,20.26328281851921,20.422297358190672,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:nf4],fineweb_edu,concat,BF16 vs NF4,106.9162493909731,106.7578785842348,0.0250813124269458,0.0,0.0,1.0,1.0,0.1583708067383185,0.1583708067383185,0.0,94.67221069335938,0.4116201321402382,134.29834447453223,0.4116201321402382,0.1744066899153923,121.14552709262706,0.1744066899153923,0.047399,3.008810520172119,3.0562098026275635,20.26328281851921,21.246874509088325,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:fp4],fineweb_edu,concat,BF16 vs FP4,106.9162493909731,107.0246030323947,0.0117405116093178,0.0,0.0,1.0,1.0,0.1083536414215871,0.1083536414215871,0.0,157.22518920898438,0.2816209699147688,222.63161589593648,0.2816209699147688,0.1193250216363644,201.01996053910065,0.1193250216363644,0.083686,3.008810520172119,3.092496871948242,20.26328281851921,22.03202048893106,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,jakiAJK/DeepSeek-R1-Distill-Llama-8B_GPTQ-int4 [GPTQ],fineweb_edu,concat,BF16 vs GPTQ(DeepSeek-R1-Distill-Llama-8B_GPTQ-int4),106.9162493909731,107.55291092387436,0.4053379074761609,0.0,0.0,1.0,1.0,0.6366615329012433,0.6366615329012433,0.0,398.6911010742188,1.6547412348188106,565.4891035714415,1.6547412348188106,0.7011268859243575,510.144276447045,0.7011268859243575,0.142515,3.008810520172119,3.1513257026672363,20.26328281851921,23.3670217794869,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [FP16],gsm8k,concat,BF16 vs FP16,120.54884841773836,120.51820555348677,0.0009389851295422,0.0,0.0,1.0,1.0,0.0306428642516038,0.0306428642516038,1.6886682715266943e-05,4.069323539733887,0.0796674728442015,5.834536131044236,0.0796674728442015,0.0348083140039658,5.36282599968469,0.0348083140039658,0.001651,1.74198317527771,1.7403318881988523,5.7086534644872655,5.699234617534055,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q8_0.gguf,gsm8k,concat,BF16 vs Q8_0,120.54884841773836,120.49089715270006,0.0033583491195407,0.0,0.0,1.0,1.0,0.0579512650383122,0.0579512650383122,3.3627071380615234,12.933972358703612,4.906206650023931,18.44201973412589,4.906206650023931,4.468641085871808,17.000473832289458,4.468641085871808,0.005516,1.74198317527771,1.7364670038223269,5.7086534644872655,5.677250245596055,2.599090960118504,1.135213851928711,1.6917322874069214,0.4143100678920746,0.0656764507293701,1.4142135623730951,1.3093183040618896
