model,trained_task,step,eval_task,omega,rho_T,rho_P,scale,shape,delta,gamma,bound_total,loss_T,loss_P,delta_risk,loss_T_full,loss_P_full,delta_risk_full,bound_holds,train_loss,eval_loss
Llama-3.1-8B,triviaqa,50,arc,0.9789104274033799,137.55155496585508,138.58365412857302,1.065228681683075,804.0356157812588,28.37429901271469,0.0,28.37429901271469,0.4886452555656433,0.4728139638900757,0.015831291675567627,1.7515153884887695,1.7505145072937012,0.0010008811950683594,True,0.968352222442627,1.1492584943771362
Llama-3.1-8B,triviaqa,50,mmlu,0.9779951311445289,138.90859524172365,139.66018670045767,0.5648897208419414,853.7889268089745,29.229331441718205,0.0,29.229331441718205,0.8992571234703064,0.8942748308181763,0.004982292652130127,1.8720897436141968,1.8630670309066772,0.009022712707519531,True,0.968352222442627,1.1492584943771362
Llama-3.1-8B,triviaqa,50,squad,0.991965396439795,138.1987533835427,137.9298965667833,0.07228398791800289,306.30704427639193,17.503694703242225,0.0,17.503694703242225,1.5736377239227295,1.4743708372116089,0.0992668867111206,2.036574125289917,2.034719944000244,0.0018541812896728516,True,0.968352222442627,1.1492584943771362
Llama-3.1-8B,triviaqa,50,triviaqa,0.9619538501313086,140.93099064229665,140.45421403770152,0.2273159306892614,1506.1977292879487,38.81269180588533,0.0,38.81269180588533,1.5481045246124268,1.2569966316223145,0.2911078929901123,2.92179274559021,2.7852816581726074,0.13651108741760254,True,0.968352222442627,1.1492584943771362
Llama-3.1-8B,triviaqa,50,gsm8k,1.0,137.14575070762805,136.97314549455243,0.02979255958088269,0.0,0.17260521307562726,0.0,0.17260521307562726,1.2760233879089355,1.2852224111557007,0.009199023246765137,1.6383130550384521,1.6359772682189941,0.002335786819458008,True,0.968352222442627,1.1492584943771362
Llama-3.1-8B,triviaqa,100,arc,0.8860010227268648,137.55155496585508,139.91968433307295,5.608036699879735,4388.087427128323,66.28495654240261,0.0,66.28495654240261,0.4886452555656433,0.48636215925216675,0.0022830963134765625,1.7515153884887695,1.7371176481246948,0.014397740364074707,True,0.9033313751220703,1.0291106700897217
Llama-3.1-8B,triviaqa,100,mmlu,0.9040278913530178,138.90859524172365,140.1347931620826,1.503561339892594,3736.372172327603,61.1381692044135,0.0,61.1381692044135,0.8992571234703064,0.9410950541496277,0.04183793067932129,1.8720897436141968,1.8415182828903198,0.030571460723876953,True,0.9033313751220703,1.0291106700897217
Llama-3.1-8B,triviaqa,100,squad,0.9599118058466207,138.1987533835427,138.29355902037707,0.008988108775569641,1532.3309294774779,39.145113585047284,0.0,39.145113585047284,1.5736377239227295,1.6009857654571533,0.027348041534423828,2.036574125289917,2.034519910812378,0.0020542144775390625,True,0.9033313751220703,1.0291106700897217
Llama-3.1-8B,triviaqa,100,triviaqa,0.9105578036074712,140.93099064229665,142.3166635470639,1.9200893990061403,3587.8535656989256,59.91471985328757,0.0,59.91471985328757,1.5481045246124268,1.106802225112915,0.4413022994995117,2.92179274559021,2.473306894302368,0.4484858512878418,True,0.9033313751220703,1.0291106700897217
Llama-3.1-8B,triviaqa,100,gsm8k,1.0,137.14575070762805,136.9657685862616,0.03239356401157269,0.0,0.1799821213664643,0.0,0.1799821213664643,1.2760233879089355,1.3240208625793457,0.047997474670410156,1.6383130550384521,1.6283223628997803,0.009990692138671875,True,0.9033313751220703,1.0291106700897217
